datetime,dataset,layer,classifier,feat,seg,step,padding,train_avg,test_avg,train_std,test_std
2021-08-20-14:54:40,esc10,conv5,mlp,mean,5.0,0.1,4.0,1.0,0.865,0.0,0.02150581316760657
2021-08-20-12:26:56,esc10,conv6,mlp,mean,5.0,0.5,8.0,1.0,0.86,0.0,0.02669269563007829
2021-08-20-12:26:12,esc10,conv6,mlp,mean,5.0,0.5,4.0,1.0,0.8574999999999999,0.0,0.03758324094593225
2021-08-20-14:55:32,esc10,conv5,mlp,mean,5.0,0.1,6.0,1.0,0.8550000000000001,0.0,0.0422788363132194
2021-08-20-15:33:26,esc10,pool5,mlp,mean,5.0,1.0,8.0,1.0,0.8549999999999999,0.0,0.04077376607575023
2021-08-20-14:51:52,esc10,conv5,mlp,mean,5.0,0.5,4.0,1.0,0.8525,0.0,0.03000000000000002
2021-08-20-14:50:39,esc10,conv5,mlp,mean,5.0,1.0,4.0,1.0,0.8525,0.0,0.018371173070873825
2021-08-20-12:25:51,esc10,conv6,mlp,mean,5.0,1.0,8.0,1.0,0.8525,0.0,0.014577379737113247
2021-08-20-12:25:30,esc10,conv6,mlp,mean,5.0,1.0,6.0,1.0,0.8525,0.0,0.021505813167606577
2021-08-20-12:44:59,esc10,conv6,mlp,mean,4.0,0.1,8.0,0.9953977272727272,0.850909090909091,0.005875670350361372,0.02771795670620296
2021-08-20-14:49:59,esc10,conv5,mlp,mean,5.0,2.0,6.0,1.0,0.85,0.0,0.04031128874149275
2021-08-20-14:52:12,esc10,conv5,mlp,mean,5.0,0.5,6.0,1.0,0.85,0.0,0.035355339059327376
2021-08-20-12:28:00,esc10,conv6,mlp,mean,5.0,0.25,8.0,1.0,0.85,0.0,0.0262202212042538
2021-08-20-12:24:04,esc10,conv6,mlp,mean,5.0,2.0,4.0,1.0,0.85,0.0,0.03259601202601324
2021-08-20-14:49:36,esc10,conv5,mlp,mean,5.0,2.0,4.0,1.0,0.85,0.0,0.02622022120425379
2021-08-20-12:25:08,esc10,conv6,mlp,mean,5.0,1.0,4.0,1.0,0.85,0.0,0.04031128874149275
2021-08-20-14:51:05,esc10,conv5,mlp,mean,5.0,1.0,6.0,1.0,0.85,0.0,0.03791437722025775
2021-08-20-12:28:21,esc10,conv6,mlp,mean,5.0,0.1,4.0,1.0,0.8474999999999999,0.0,0.031024184114977125
2021-08-20-14:52:55,esc10,conv5,mlp,mean,5.0,0.25,4.0,1.0,0.8474999999999999,0.0,0.022912878474779217
2021-08-20-12:24:25,esc10,conv6,mlp,mean,5.0,2.0,6.0,1.0,0.8450000000000001,0.0,0.03221024681681281
2021-08-20-14:52:34,esc10,conv5,mlp,mean,5.0,0.5,8.0,1.0,0.845,0.0,0.046502688094345705
2021-08-20-14:56:14,esc10,conv5,mlp,mean,5.0,0.1,8.0,1.0,0.845,0.0,0.04077376607575023
2021-08-20-12:37:26,esc10,conv6,mlp,mean,4.0,0.25,8.0,0.998625,0.8435,0.0009185586535436725,0.027730849247724072
2021-08-20-12:32:24,esc10,conv6,mlp,mean,4.0,0.5,4.0,0.9989583333333334,0.8433333333333334,0.00065880784586841,0.036190084584347436
2021-08-20-14:51:29,esc10,conv5,mlp,mean,5.0,1.0,8.0,1.0,0.8425,0.0,0.04373213921133976
2021-08-20-12:35:05,esc10,conv6,mlp,mean,4.0,0.25,4.0,0.99875,0.8424999999999999,0.001425219281373931,0.034964267474094195
2021-08-20-12:31:07,esc10,conv6,mlp,mean,4.0,1.0,6.0,0.9990625,0.8412499999999999,0.000765465544619754,0.029738443133425805
2021-08-20-14:53:22,esc10,conv5,mlp,mean,5.0,0.25,6.0,1.0,0.8400000000000001,0.0,0.041382363393117134
2021-08-20-12:29:22,esc10,conv6,mlp,mean,4.0,2.0,4.0,1.0,0.8400000000000001,0.0,0.05499999999999999
2021-08-20-14:50:18,esc10,conv5,mlp,mean,5.0,2.0,8.0,1.0,0.8400000000000001,0.0,0.03391164991562635
2021-08-20-12:33:10,esc10,conv6,mlp,mean,4.0,0.5,6.0,0.99875,0.8399999999999999,0.0010206207261596676,0.03806062415556411
2021-08-20-15:09:41,esc10,conv5,mlp,mean,4.0,0.25,6.0,0.999,0.8379999999999999,0.0008477912478906405,0.03370459909270546
2021-08-20-12:36:14,esc10,conv6,mlp,mean,4.0,0.25,6.0,0.999375,0.8375,0.000395284707521039,0.02593260495977989
2021-08-20-12:28:42,esc10,conv6,mlp,mean,5.0,0.1,6.0,1.0,0.8375,0.0,0.011180339887498959
2021-08-20-12:27:16,esc10,conv6,mlp,mean,5.0,0.25,4.0,1.0,0.8375,0.0,0.051841103383319306
2021-08-20-14:57:22,esc10,conv5,mlp,mean,4.0,2.0,6.0,1.0,0.8375,0.0,0.03708099243547831
2021-08-20-14:59:58,esc10,conv5,mlp,mean,4.0,1.0,6.0,0.9975,0.8362499999999999,0.002724311839712916,0.035
2021-08-20-14:56:50,esc10,conv5,mlp,mean,4.0,2.0,4.0,1.0,0.835,0.0,0.03824264635194588
2021-08-20-12:24:47,esc10,conv6,mlp,mean,5.0,2.0,8.0,1.0,0.835,0.0,0.04703721930556695
2021-08-20-14:57:56,esc10,conv5,mlp,mean,4.0,2.0,8.0,1.0,0.835,0.0,0.0382426463519459
2021-08-20-15:05:27,esc10,conv5,mlp,mean,4.0,0.5,8.0,0.9979166666666668,0.8341666666666667,0.001976423537605253,0.03549256573174474
2021-08-20-15:01:09,esc10,conv5,mlp,mean,4.0,1.0,8.0,0.996875,0.83375,0.003952847075210487,0.03803781013675734
2021-08-20-15:11:38,esc10,conv5,mlp,mean,4.0,0.25,8.0,0.9935,0.8334999999999999,0.0070334024483176254,0.03716853508009163
2021-08-20-15:03:02,esc10,conv4,mlp,mean,5.0,0.1,6.0,1.0,0.8324999999999999,0.0,0.033166247903553984
2021-08-20-15:07:25,esc10,conv5,mlp,mean,4.0,0.25,4.0,0.995625,0.8314999999999999,0.005138701197773634,0.035234925854895745
2021-08-20-12:30:34,esc10,conv6,mlp,mean,4.0,1.0,4.0,0.996875,0.8312500000000002,0.0047392971525322,0.03377314021526575
2021-08-20-15:00:45,esc10,conv4,mlp,mean,5.0,0.25,6.0,1.0,0.8300000000000001,0.0,0.03409545424246465
2021-08-20-12:26:34,esc10,conv6,mlp,mean,5.0,0.5,6.0,1.0,0.8300000000000001,0.0,0.03840572873934305
2021-08-20-15:03:40,esc10,conv4,mlp,mean,5.0,0.1,8.0,1.0,0.8300000000000001,0.0,0.04373213921133976
2021-08-20-14:58:32,esc10,conv4,mlp,mean,5.0,0.5,6.0,1.0,0.8300000000000001,0.0,0.02806243040080455
2021-08-20-15:01:36,esc10,conv4,mlp,mean,5.0,0.25,8.0,1.0,0.8300000000000001,0.0,0.044440972086577935
2021-08-20-14:53:57,esc10,conv5,mlp,mean,5.0,0.25,8.0,1.0,0.8300000000000001,0.0,0.049749371855330966
2021-08-20-14:54:25,esc10,conv4,mlp,mean,5.0,2.0,6.0,1.0,0.8300000000000001,0.0,0.036742346141747685
2021-08-20-14:55:12,esc10,conv4,mlp,mean,5.0,2.0,8.0,1.0,0.8300000000000001,0.0,0.046502688094345684
2021-08-20-15:20:21,esc10,conv5,mlp,mean,4.0,0.1,6.0,0.9946022727272726,0.8297727272727272,0.003924158329507284,0.0453373489146815
2021-08-20-15:04:02,esc10,conv5,mlp,mean,4.0,0.5,6.0,0.9916666666666666,0.8291666666666668,0.011655500608916129,0.0350594732799377
2021-08-20-12:31:40,esc10,conv6,mlp,mean,4.0,1.0,8.0,0.9975,0.82875,0.002724311839712916,0.03297726489568231
2021-08-20-12:29:41,esc10,conv6,mlp,mean,4.0,2.0,6.0,1.0,0.8275,0.0,0.05385164807134505
2021-08-20-12:27:38,esc10,conv6,mlp,mean,5.0,0.25,6.0,1.0,0.8275,0.0,0.03482097069296032
2021-08-20-12:30:00,esc10,conv6,mlp,mean,4.0,2.0,8.0,1.0,0.8275,0.0,0.039051248379533235
2021-08-20-14:58:55,esc10,conv5,mlp,mean,4.0,1.0,4.0,0.9978125,0.8262499999999999,0.002898005779842406,0.047003989192407926
2021-08-20-15:02:39,esc10,conv5,mlp,mean,4.0,0.5,4.0,0.9972916666666668,0.8258333333333333,0.0034610932762158732,0.034095454242464636
2021-08-20-14:59:15,esc10,conv4,mlp,mean,5.0,0.5,8.0,1.0,0.825,0.0,0.04107919181288747
2021-08-20-12:29:04,esc10,conv6,mlp,mean,5.0,0.1,8.0,1.0,0.825,0.0,0.03162277660168381
2021-08-20-12:33:54,esc10,conv6,mlp,mean,4.0,0.5,8.0,0.999375,0.825,0.0005103103630798541,0.020241596335818537
2021-08-20-12:42:21,esc10,conv6,mlp,mean,4.0,0.1,6.0,0.9741477272727274,0.8243181818181817,0.03533387462876087,0.033017964056150165
2021-08-20-14:57:16,esc10,conv4,mlp,mean,5.0,1.0,8.0,1.0,0.8225,0.0,0.033911649915626375
2021-08-20-12:49:47,esc10,conv6,mlp,mean,3.0,0.5,4.0,0.993,0.8210000000000001,0.002417384950726707,0.03730281490718899
2021-08-20-13:01:23,esc10,conv6,mlp,mean,3.0,0.1,4.0,0.9841666666666666,0.8204761904761904,0.012326459750363221,0.027255405754769882
2021-08-20-15:15:49,esc10,conv5,mlp,mean,4.0,0.1,4.0,0.9875,0.8188636363636365,0.014214769048103081,0.049541284228158664
2021-08-20-12:39:49,esc10,conv6,mlp,mean,4.0,0.1,4.0,0.9756818181818184,0.8165909090909091,0.045527143728941566,0.0632643346053513
2021-08-20-12:51:55,esc10,conv6,mlp,mean,3.0,0.5,8.0,0.99375,0.8164999999999999,0.001530931089239481,0.041158231254513324
